Timestamp,ช่วงอายุของผู้เล่น,ผู้ทดลองรู้สึกสนุกและเข้าใจรูปแบบการเล่นปริศนา 3 มิติหรือไม่,เกมช่วยให้เรียนรู้คำศัพท์ / ประเด็นสิ่งแวดล้อมได้มากขึ้นหรือไม่,หลังเล่นแล้วอยากเล่นด่านทวีปอื่นต่อ หรือนำแนวคิดความยั่งยืนไปใช้หรือไม่,ข้อเสนอแนะเพิ่มเติม
12/07/2026 09:37:27,17–18 ปี,ไม่พึงพอใจ,ปานกลาง,พึงพอใจมาก,ชอบธีมสิ่งแวดล้อมมาก ได้ทั้งความรู้และความสนุก
12/07/2026 11:30:38,15–16 ปี,พึงพอใจมาก,ปานกลาง,ไม่พึงพอใจ,การหมุนกล้องงงตอนแรก อยากได้ปุ่มรีเซ็ตมุมมอง
12/07/2026 11:34:11,17–18 ปี,พึงพอใจ,พึงพอใจมาก,ไม่พึงพอใจมาก,ด่านสอนการเล่นช่วยได้มาก เข้าใจง่ายขึ้น
12/07/2026 12:24:48,15–16 ปี,พึงพอใจ,ไม่พึงพอใจ,พึงพอใจ,การหมุนกล้องงงตอนแรก อยากได้ปุ่มรีเซ็ตมุมมอง
12/07/2026 23:02:57,17–18 ปี,พึงพอใจ,พึงพอใจ,พึงพอใจมาก,บางด่านคำเยอะ หมุนหาจุดตัดนานไปนิด
13/07/2026 00:26:20,12–14 ปี,ไม่พึงพอใจ,พึงพอใจมาก,ปานกลาง,เป็นไอเดียที่แปลกใหม่ดี ไม่เคยเล่นอักษรไขว้ 3 มิติมาก่อน
13/07/2026 01:04:38,15–16 ปี,พึงพอใจมาก,พึงพอใจมาก,ไม่พึงพอใจ,อยากให้เล่นบนมือถือได้ด้วย
13/07/2026 03:19:06,15–16 ปี,พึงพอใจมาก,พึงพอใจมาก,ไม่พึงพอใจ,สนุกมากครับ อยากให้มีด่านเพิ่มอีก
13/07/2026 06:15:42,17–18 ปี,พึงพอใจ,พึงพอใจมาก,ปานกลาง,อยากให้เล่นบนมือถือได้ด้วย
13/07/2026 06:39:23,17–18 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจมาก,
13/07/2026 07:13:20,15–16 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจ,
13/07/2026 09:26:38,15–16 ปี,พึงพอใจมาก,พึงพอใจมาก,พึงพอใจมาก,
13/07/2026 18:48:11,12–14 ปี,พึงพอใจมาก,พึงพอใจ,พึงพอใจ,
13/07/2026 22:56:38,17–18 ปี,พึงพอใจมาก,พึงพอใจ,พึงพอใจมาก,
14/07/2026 00:36:01,มากกว่า 18 ปี,พึงพอใจ,ปานกลาง,ปานกลาง,บางด่านคำเยอะ หมุนหาจุดตัดนานไปนิด
14/07/2026 01:29:51,17–18 ปี,พึงพอใจมาก,พึงพอใจ,พึงพอใจมาก,ตัวอักษรบางมุมมองเล็กและอ่านยาก
14/07/2026 01:47:57,17–18 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจ,เป็นไอเดียที่แปลกใหม่ดี ไม่เคยเล่นอักษรไขว้ 3 มิติมาก่อน
14/07/2026 03:24:25,15–16 ปี,พึงพอใจ,พึงพอใจมาก,ปานกลาง,
14/07/2026 08:33:31,15–16 ปี,พึงพอใจมาก,พึงพอใจมาก,ปานกลาง,
14/07/2026 09:58:56,17–18 ปี,พึงพอใจมาก,พึงพอใจ,พึงพอใจมาก,ได้เรียนรู้คำศัพท์สิ่งแวดล้อมใหม่ ๆ เยอะเลย
14/07/2026 13:14:33,15–16 ปี,ปานกลาง,ปานกลาง,พึงพอใจมาก,อยากให้มีเสียงประกอบและเพลงระหว่างเล่น
14/07/2026 14:42:17,มากกว่า 18 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจมาก,ได้เรียนรู้คำศัพท์สิ่งแวดล้อมใหม่ ๆ เยอะเลย
14/07/2026 16:06:43,15–16 ปี,ไม่พึงพอใจ,พึงพอใจ,พึงพอใจ,
14/07/2026 22:23:32,15–16 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจมาก,ได้เรียนรู้คำศัพท์สิ่งแวดล้อมใหม่ ๆ เยอะเลย
14/07/2026 23:33:46,15–16 ปี,พึงพอใจมาก,พึงพอใจมาก,ปานกลาง,สนุกมากครับ อยากให้มีด่านเพิ่มอีก
15/07/2026 00:00:33,12–14 ปี,ปานกลาง,พึงพอใจมาก,พึงพอใจมาก,คำใบ้บางข้อยากไปหน่อย อยากให้มีระบบช่วยเหลือ/คำใบ้เพิ่ม
15/07/2026 00:37:54,12–14 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจ,
15/07/2026 02:36:48,15–16 ปี,พึงพอใจมาก,พึงพอใจ,พึงพอใจ,การหมุนกล้องงงตอนแรก อยากได้ปุ่มรีเซ็ตมุมมอง
15/07/2026 03:30:31,15–16 ปี,พึงพอใจ,พึงพอใจ,พึงพอใจมาก,ด่านสอนการเล่นช่วยได้มาก เข้าใจง่ายขึ้น
15/07/2026 04:55:55,17–18 ปี,พึงพอใจ,ปานกลาง,ปานกลาง,ชอบธีมสิ่งแวดล้อมมาก ได้ทั้งความรู้และความสนุก
15/07/2026 06:14:23,17–18 ปี,พึงพอใจ,พึงพอใจ,พึงพอใจมาก,
15/07/2026 06:38:32,15–16 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจมาก,
15/07/2026 12:21:12,12–14 ปี,พึงพอใจมาก,พึงพอใจ,พึงพอใจ,
15/07/2026 14:39:33,มากกว่า 18 ปี,พึงพอใจมาก,พึงพอใจมาก,พึงพอใจ,กราฟิกน่ารักดี แต่อยากให้มีแอนิเมชันตอนผ่านด่าน
15/07/2026 17:20:57,12–14 ปี,ปานกลาง,พึงพอใจ,พึงพอใจมาก,บางด่านคำเยอะ หมุนหาจุดตัดนานไปนิด
15/07/2026 19:43:19,15–16 ปี,พึงพอใจมาก,ปานกลาง,ไม่พึงพอใจ,
15/07/2026 21:45:26,17–18 ปี,ปานกลาง,พึงพอใจ,ปานกลาง,
16/07/2026 00:10:47,15–16 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจมาก,
16/07/2026 00:28:22,15–16 ปี,พึงพอใจ,พึงพอใจ,ไม่พึงพอใจมาก,ชอบธีมสิ่งแวดล้อมมาก ได้ทั้งความรู้และความสนุก
16/07/2026 03:52:28,15–16 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจ,อยากได้โหมดจับเวลาไว้แข่งกับเพื่อน
16/07/2026 07:18:45,17–18 ปี,พึงพอใจมาก,พึงพอใจมาก,พึงพอใจ,
16/07/2026 08:07:15,15–16 ปี,พึงพอใจ,ปานกลาง,ปานกลาง,
16/07/2026 08:35:21,17–18 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจมาก,อยากให้เล่นบนมือถือได้ด้วย
